Name,RAM,ROM,Sold Quantity,Rating
POCO M4 5G,4,64,80603,4.2
POCO M4 5G,4,64,80603,4.2
APPLE iPhone 13,0,128,229265,4.7
SAMSUNG Galaxy F14 5G,6,128,18144,4.2
SAMSUNG Galaxy F14 5G,6,128,18144,4.2
APPLE iPhone 13,0,128,229265,4.7
APPLE iPhone 13,0,128,229265,4.7
vivo T2 5G,8,128,5323,4.4
POCO X5 5G,6,128,9173,4.1
POCO M4 5G,6,128,42291,4.2
realme 10 Pro 5G,8,128,20373,4.3
realme 10 Pro 5G,6,128,27571,4.3
realme 10 Pro 5G,8,128,20373,4.3
realme 10 Pro 5G,8,128,20373,4.3
Infinix Note 12 Pro 5G,8,128,28437,4.1
Infinix Note 12 Pro 5G,8,128,28437,4.1
realme 10 Pro 5G,6,128,27571,4.3
realme 10 Pro 5G,6,128,27571,4.3
realme GT 2,8,128,10898,4.3
POCO X4 Pro 5G,6,128,86537,4.2
realme GT 2,8,128,10898,4.3
SAMSUNG Galaxy F23 5G,6,128,196898,4.3
Google Pixel 6a,6,128,48448,4.3
Google Pixel 6a,6,128,48448,4.3
